id,address,city,description,latitude,longitude,price,state,street,title,totalScore,categories,image_url
198,"Arekere MICO Layout Main Rd, Puttenahalli, JP Nagar 7th Phase, near MLR Convention Hall, Bengaluru, Karnataka 560076, India",Bengaluru,"Tree-shaded freshwater lake with a narrow jogging path, home to ducks & other birds.",12.8904142,77.5871901,,Karnataka,"Arekere MICO Layout Main Rd, Puttenahalli, JP Nagar 7th Phase, near MLR Convention Hall",Puttenahalli Lake,3.9,"Tourist attraction, Bird watching area, Park","https://lh5.googleusercontent.com/p/AF1QipMNQkl5kpo6Gvm7R1zwRGrtlACPWlfA8ip9L8F_=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipNM40TqnsrpMh-IbO0tqgVC91Rnm5kVAsL99OGl=w1920-h1080-k-no"
199,"VJ95+73P, Unnamed Road, Akshaya Vana, Hulimavu, Bengaluru, Karnataka 560076, India",Bengaluru,,12.868212,77.6077014,,Karnataka,"VJ95+73P, Unnamed Road",Rock City View,4.4,Tourist attraction,"https://lh5.googleusercontent.com/p/AF1QipMIrMFyCDSqL3xh1NLnx_ym3G2q8bEFe2AH6xMh=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipOkv3vaneFMNSAcd_Z8zACJRuKunxFcwBd33IZC=w1920-h1080-k-no"
200,"VJM9+P6C, Nyanapahalli Main Rd, 2nd Block, Addischetan Layout, Arekere, Bengaluru, Karnataka 560076, India",Bengaluru,,12.8843162,77.6180035,,Karnataka,"VJM9+P6C, Nyanapahalli Main Rd",Bande Park,4.4,"Tourist attraction, Park","https://lh5.googleusercontent.com/p/AF1QipMDTts3UFJgIEQfJ4P1wYeTU8JaNHmlAb2EAINo=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipPhFteUfNdOQu5LdRhkmJ1Gg8DPK603fiL9drNm=w1920-h1080-k-no"
201,"XH7G+49C, Krishna Rajendra Rd, New Tharagupet, Bengaluru, Karnataka 560002, India",Bengaluru,"Monumental, carved stone gate, one of few surviving elements of the city's 18th-century fort.",12.9628018,77.5758862,,Karnataka,"XH7G+49C, Krishna Rajendra Rd",Bengaluru Fort,4.0,"Tourist attraction, Historical landmark, Fortress","https://lh5.googleusercontent.com/p/AF1QipPMqV5_r21gYL4J3E9lAR2CwmaP6cd56nutHZ_Y=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipM7fDilDoZ582bdJwlwVCUBII8UPLTNSNqftpp-=w1920-h1080-k-no"
202,"WGRV+627, 8th Cross Rd, 1st phase Girinagar, Phase 2, Banashankari, Bengaluru, Karnataka 560085, India",Bengaluru,,12.9405477,77.5425569,,Karnataka,"WGRV+627, 8th Cross Rd",Sri Raghavendra Swamy Math,4.7,"Tourist attraction, Hindu temple","https://lh5.googleusercontent.com/p/AF1QipOwv7lFZCpnGRT9gn-ilgyH8DEw2CTYFevtabfE=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipMxm61_SAIt3VAwV-TDkAFfOL9zP-LGiFF41EdK=w1920-h1080-k-no"
203,"3rd Cross road, Nagasandra Main Rd, Thyagaraja Nagar, Basavanagudi, Bengaluru, Karnataka 560028, India",Bengaluru,,12.9353675,77.5716497,,Karnataka,"3rd Cross road, Nagasandra Main Rd",Ramanjaneya Swami Temple,4.6,"Tourist attraction, Hindu temple","https://lh5.googleusercontent.com/p/AF1QipM78Q5FPoZDjsSUMCUd3ONlcUNtTs5HavAVGL7F=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipPBwbsUIvDkdhiOYBKaN6U-bPCHW9EJxO2dNW9D=w1920-h1080-k-no"
204,"WHV7+R8R, 5th Main Rd, Srinivasanagara, Hanumanthnagar, Banashankari 1st Stage, Banashankari, Bengaluru, Karnataka 560019, India",Bengaluru,,12.9446167,77.5632595,,Karnataka,"WHV7+R8R, 5th Main Rd",Ramanjaneya Gudda Temple,4.7,"Tourist attraction, Hindu temple","https://lh5.googleusercontent.com/p/AF1QipOhbEIZxGvHkFs31PTVWsDkjImweEC1wg022Orf=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipOhh_UD9PotF1wgKf2DDF13zbPRtUL9rNqaAsQG=w1920-h1080-k-no"
205,"WHX9+45V, Ramakrishna Ashrama Cir, Gandhi Bazaar, Basavanagudi, Bengaluru, Karnataka 560004, India",Bengaluru,Statue of the eminent 19th century Hindu monk Swami Vivekananda erected on a busy roundabout.,12.9478686,77.5679233,,Karnataka,"WHX9+45V, Ramakrishna Ashrama Cir",Vivekananda Statue,4.6,Tourist attraction,"https://lh5.googleusercontent.com/p/AF1QipPeozdqR7LqOvyhAndNsGm-2Krq4PevEIra3vcO=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipN-ZIKZD3JOYk4iRNCXvW4UT21XveZtjIYNJqoK=w1920-h1080-k-no"
206,"WHMH+QWG, Rashtriya Vidyalaya Rd, Jayanagar, Bengaluru, Karnataka 560041, India",Bengaluru,"Landscaped recreation area with kids' play equipment, plus statues of kings & colorful sculptures.",12.9344251,77.5798235,,Karnataka,"WHMH+QWG, Rashtriya Vidyalaya Rd",Ranadheera Kanteerava Park,4.5,"Tourist attraction, Park","https://lh5.googleusercontent.com/p/AF1QipP6HKI0UBFXqMg2nasM6WyGwXecWJEHHHvexG3S=w1920-h1080-k-no,https://lh5.googleusercontent.com/p/AF1QipPnOizh2wpWN1E0VvuCQsbkN1-cE-LGG41o1O24=w1920-h1080-k-no"
207,"XHHX+H8M, Queens Rd, Shivaji Nagar, Bengaluru, Karnataka 560001, India",Bengaluru,,12.978955,77.5982989,,Karnataka,"XHHX+H8M, Queens Rd",Gayle Six Place,,Tourist attraction,
